topic_id,topic_name,top_keywords,review_count,interpreted_label,interpretation,dimension_hint,preference_id,category,subcategory,preference_label,preference_description,similarity,confidence,needs_review,preference_type,sdd,corpus_share,summary_signals
0,0_good_room_staff_hotel,"good, room, staff, hotel",239,Hotel Accommodation and Staff Service,"Travelers share their experiences regarding hotel stays, focusing on room cleanliness, value for money, and the quality of staff service. Reviews reflect a mix of appreciation for helpful hospitality and complaints about poor maintenance or unexpected charges.",Accommodation,P01,Accommodation,Hotel & Resort Services,Quality hotel accommodation and staff service,"Travelers seeking comfortable hotel stays with clean rooms, good value, and hospitable staff service.",0.8111,high,False,mainstream,0.6167,0.4442,good; room; staff
1,1_beach_sea_island_sea beach,"beach, sea, island, sea beach",76,Coastal and Island Beach Destinations,"Travelers share their experiences visiting Bangladesh's scenic beaches and coral islands, focusing on natural beauty, sunsets, and relaxing coastal atmospheres. The discussions highlight popular spots like Cox's Bazar and Saint Martin's Island for leisure and sightseeing.",Attractions & Activities,P02,Attractions & Activities,Coastal & Beach Tourism,Coastal beach and coral island excursions,"Travelers seeking scenic beach walks, sunsets, and relaxing coastal atmospheres in destinations like Cox's Bazar and Saint Martin's Island.",0.8134,high,False,mainstream,0.3991,0.1413,beach; sea; island
2,2_dhaka_history_historical_visit,"dhaka, history, historical, visit",73,Exploring Bangladesh's Historical Landmarks,"Travelers share their experiences visiting prominent historical and heritage sites across Bangladesh, focusing on their architectural beauty, cultural significance, and rich history. The discussions heavily feature iconic landmarks like Ahsan Manzil, Sixty Dome Mosque, and Lalbagh Fort.",Attractions & Activities,P03,Attractions & Activities,Heritage & Archaeological Tourism,Historical landmark and ancient city tours,"Travelers interested in exploring rich history, colonial architecture, and archaeological sites like Lalbagh Fort, Panam City, and ancient mosques.",0.6678,high,False,mainstream,0.3991,0.1357,dhaka; history; historical
3,3_bandarban_nilachal_place_tourist,"bandarban, nilachal, place, tourist",32,Scenic Hilltop Nature Destinations,"Travelers highlight the breathtaking panoramic views, peaceful environment, and cloud-touching experiences at hilltop destinations like Nilachal in Bandarban and other natural attractions.",Attractions & Activities,P04,Attractions & Activities,Nature & Adventure Tourism,Hill tracts and scenic lake exploration,"Travelers seeking panoramic hilltop views, peaceful environments, and scenic boat rides in Bandarban and Kaptai Lake.",0.7344,high,False,mainstream,0.4669,0.0595,bandarban; nilachal; place
4,4_panam_city_panam city_sonargaon,"panam, city, panam city, sonargaon",17,Historic Panam City and Sonargaon,"Travelers share their experiences visiting the historic, abandoned 19th-century merchant town of Panam City in Sonargaon. They highlight its unique colonial-era architecture, rich heritage, and hauntingly beautiful atmosphere.",Attractions & Activities,P03,Attractions & Activities,Heritage & Archaeological Tourism,Historical landmark and ancient city tours,"Travelers interested in exploring rich history, colonial architecture, and archaeological sites like Lalbagh Fort, Panam City, and ancient mosques.",0.6226,high,False,mainstream,0.5511,0.0316,panam; city; panam city
5,5_tea_garden_tea garden_sreemangal,"tea, garden, tea garden, sreemangal",16,Scenic Sreemangal Tea Garden Tours,"Travelers highlight the serene, lush green landscapes of Sreemangal's tea gardens, emphasizing the peaceful atmosphere and local tea tasting experiences.",Attractions & Activities,P05,Attractions & Activities,Ecotourism & Wildlife,Ecotourism and forest boat safaris,"Travelers looking to experience unique ecosystems, lush tea gardens, swamp forests, and mangrove wildlife in Sreemangal, Ratargul, and the Sundarbans.",0.6421,high,False,mainstream,0.476,0.0297,tea; garden; tea garden
6,6_forest_swamp_ratargul_swamp forest,"forest, swamp, ratargul, swamp forest",16,Exploring Ratargul Freshwater Swamp Forest,"Travelers share their experiences visiting Ratargul Swamp Forest, highlighting its unique freshwater ecosystem and scenic boat rides. They particularly emphasize the breathtaking beauty of the lush greenery and flooded channels during the rainy season.",Attractions & Activities,P05,Attractions & Activities,Ecotourism & Wildlife,Ecotourism and forest boat safaris,"Travelers looking to experience unique ecosystems, lush tea gardens, swamp forests, and mangrove wildlife in Sreemangal, Ratargul, and the Sundarbans.",0.632,high,False,mainstream,0.5339,0.0297,forest; swamp; ratargul
7,7_karamjal_sundarbans_forest_center,"karamjal, sundarbans, forest, center",12,Karamjal Sundarbans Eco-Tourism Gateway,"Travelers highlight Karamjal as an accessible, family-friendly gateway for short day trips to the Sundarbans, offering glimpses of mangrove wildlife like crocodiles and deer.",Attractions & Activities,P05,Attractions & Activities,Ecotourism & Wildlife,Ecotourism and forest boat safaris,"Travelers looking to experience unique ecosystems, lush tea gardens, swamp forests, and mangrove wildlife in Sreemangal, Ratargul, and the Sundarbans.",0.6039,high,False,mainstream,0.4234,0.0223,karamjal; sundarbans; forest
8,8_lake_kaptai_kaptai lake_rangamati,"lake, kaptai, kaptai lake, rangamati",11,Scenic Kaptai Lake in Rangamati,"Travelers praise the breathtaking natural beauty, serene atmosphere, and scenic landscapes of Kaptai Lake in Rangamati. They highlight it as a premier destination for recreation, boat rides, and experiencing the unique hill tracts environment.",Attractions & Activities,P04,Attractions & Activities,Nature & Adventure Tourism,Hill tracts and scenic lake exploration,"Travelers seeking panoramic hilltop views, peaceful environments, and scenic boat rides in Bandarban and Kaptai Lake.",0.7341,high,False,mainstream,0.473,0.0204,lake; kaptai; kaptai lake
9,9_place_historical place_historical_visit,"place, historical place, historical, visit",7,Exploring Historical and Archaeological Sites,"Travelers discuss visiting prominent historical and archaeological landmarks in Bangladesh, emphasizing their architectural beauty, rich history, and the educational value of onsite museums.",Attractions & Activities,P03,Attractions & Activities,Heritage & Archaeological Tourism,Historical landmark and ancient city tours,"Travelers interested in exploring rich history, colonial architecture, and archaeological sites like Lalbagh Fort, Panam City, and ancient mosques.",0.71,high,False,mainstream,0.0823,0.013,place; historical place; historical
