topic_id,topic_name,top_keywords,review_count,corpus_share,interpreted_label,interpretation,dimension_hint,llm_raw
0,0_good_room_staff_hotel,"good, room, staff, hotel",239,0.4442,Hotel Accommodation and Staff Service,"Travelers share their experiences regarding hotel stays, focusing on room cleanliness, value for money, and the quality of staff service. Reviews reflect a mix of appreciation for helpful hospitality and complaints about poor maintenance or unexpected charges.",Accommodation,"{""topic_id"": 0, ""interpreted_label"": ""Hotel Accommodation and Staff Service"", ""interpretation"": ""Travelers share their experiences regarding hotel stays, focusing on room cleanliness, value for money, and the quality of staff service. Reviews reflect a mix of appreciation for helpful hospitality and complaints about poor maintenance or unexpected charges."", ""dimension_hint"": ""Accommodation""}"
1,1_beach_sea_island_sea beach,"beach, sea, island, sea beach",76,0.1413,Coastal and Island Beach Destinations,"Travelers share their experiences visiting Bangladesh's scenic beaches and coral islands, focusing on natural beauty, sunsets, and relaxing coastal atmospheres. The discussions highlight popular spots like Cox's Bazar and Saint Martin's Island for leisure and sightseeing.",Attractions & Activities,"{
  ""topic_id"": 1,
  ""interpreted_label"": ""Coastal and Island Beach Destinations"",
  ""interpretation"": ""Travelers share their experiences visiting Bangladesh's scenic beaches and coral islands, focusing on natural beauty, sunsets, and relaxing coastal atmospheres. The discussions highlight popular spots like Cox's Bazar and Saint Martin's Island for leisure and sightseeing."",
  ""dimension_hint"": ""Attractions & Activities""
}"
2,2_dhaka_history_historical_visit,"dhaka, history, historical, visit",73,0.1357,Exploring Bangladesh's Historical Landmarks,"Travelers share their experiences visiting prominent historical and heritage sites across Bangladesh, focusing on their architectural beauty, cultural significance, and rich history. The discussions heavily feature iconic landmarks like Ahsan Manzil, Sixty Dome Mosque, and Lalbagh Fort.",Attractions & Activities,"{""topic_id"": 2, ""interpreted_label"": ""Exploring Bangladesh's Historical Landmarks"", ""interpretation"": ""Travelers share their experiences visiting prominent historical and heritage sites across Bangladesh, focusing on their architectural beauty, cultural significance, and rich history. The discussions heavily feature iconic landmarks like Ahsan Manzil, Sixty Dome Mosque, and Lalbagh Fort."", ""dimension_hint"": ""Attractions & Activities""}"
3,3_bandarban_nilachal_place_tourist,"bandarban, nilachal, place, tourist",32,0.0595,Scenic Hilltop Nature Destinations,"Travelers highlight the breathtaking panoramic views, peaceful environment, and cloud-touching experiences at hilltop destinations like Nilachal in Bandarban and other natural attractions.",Attractions & Activities,"{
  ""topic_id"": 3,
  ""interpreted_label"": ""Scenic Hilltop Nature Destinations"",
  ""interpretation"": ""Travelers highlight the breathtaking panoramic views, peaceful environment, and cloud-touching experiences at hilltop destinations like Nilachal in Bandarban and other natural attractions."",
  ""dimension_hint"": ""Attractions & Activities""
}"
4,4_panam_city_panam city_sonargaon,"panam, city, panam city, sonargaon",17,0.0316,Historic Panam City and Sonargaon,"Travelers share their experiences visiting the historic, abandoned 19th-century merchant town of Panam City in Sonargaon. They highlight its unique colonial-era architecture, rich heritage, and hauntingly beautiful atmosphere.",Attractions & Activities,"{""topic_id"": 4, ""interpreted_label"": ""Historic Panam City and Sonargaon"", ""interpretation"": ""Travelers share their experiences visiting the historic, abandoned 19th-century merchant town of Panam City in Sonargaon. They highlight its unique colonial-era architecture, rich heritage, and hauntingly beautiful atmosphere."", ""dimension_hint"": ""Attractions & Activities""}"
5,5_tea_garden_tea garden_sreemangal,"tea, garden, tea garden, sreemangal",16,0.0297,Scenic Sreemangal Tea Garden Tours,"Travelers highlight the serene, lush green landscapes of Sreemangal's tea gardens, emphasizing the peaceful atmosphere and local tea tasting experiences.",Attractions & Activities,"{""topic_id"": 5, ""interpreted_label"": ""Scenic Sreemangal Tea Garden Tours"", ""interpretation"": ""Travelers highlight the serene, lush green landscapes of Sreemangal's tea gardens, emphasizing the peaceful atmosphere and local tea tasting experiences."", ""dimension_hint"": ""Attractions & Activities""}"
6,6_forest_swamp_ratargul_swamp forest,"forest, swamp, ratargul, swamp forest",16,0.0297,Exploring Ratargul Freshwater Swamp Forest,"Travelers share their experiences visiting Ratargul Swamp Forest, highlighting its unique freshwater ecosystem and scenic boat rides. They particularly emphasize the breathtaking beauty of the lush greenery and flooded channels during the rainy season.",Attractions & Activities,"{
  ""topic_id"": 6,
  ""interpreted_label"": ""Exploring Ratargul Freshwater Swamp Forest"",
  ""interpretation"": ""Travelers share their experiences visiting Ratargul Swamp Forest, highlighting its unique freshwater ecosystem and scenic boat rides. They particularly emphasize the breathtaking beauty of the lush greenery and flooded channels during the rainy season."",
  ""dimension_hint"": ""Attractions & Activities""
}"
7,7_karamjal_sundarbans_forest_center,"karamjal, sundarbans, forest, center",12,0.0223,Karamjal Sundarbans Eco-Tourism Gateway,"Travelers highlight Karamjal as an accessible, family-friendly gateway for short day trips to the Sundarbans, offering glimpses of mangrove wildlife like crocodiles and deer.",Attractions & Activities,"{
  ""topic_id"": 7,
  ""interpreted_label"": ""Karamjal Sundarbans Eco-Tourism Gateway"",
  ""interpretation"": ""Travelers highlight Karamjal as an accessible, family-friendly gateway for short day trips to the Sundarbans, offering glimpses of mangrove wildlife like crocodiles and deer."",
  ""dimension_hint"": ""Attractions & Activities""
}"
8,8_lake_kaptai_kaptai lake_rangamati,"lake, kaptai, kaptai lake, rangamati",11,0.0204,Scenic Kaptai Lake in Rangamati,"Travelers praise the breathtaking natural beauty, serene atmosphere, and scenic landscapes of Kaptai Lake in Rangamati. They highlight it as a premier destination for recreation, boat rides, and experiencing the unique hill tracts environment.",Attractions & Activities,"{
  ""topic_id"": 8,
  ""interpreted_label"": ""Scenic Kaptai Lake in Rangamati"",
  ""interpretation"": ""Travelers praise the breathtaking natural beauty, serene atmosphere, and scenic landscapes of Kaptai Lake in Rangamati. They highlight it as a premier destination for recreation, boat rides, and experiencing the unique hill tracts environment."",
  ""dimension_hint"": ""Attractions & Activities""
}"
9,9_place_historical place_historical_visit,"place, historical place, historical, visit",7,0.013,Exploring Historical and Archaeological Sites,"Travelers discuss visiting prominent historical and archaeological landmarks in Bangladesh, emphasizing their architectural beauty, rich history, and the educational value of onsite museums.",Attractions & Activities,"{""topic_id"": 9, ""interpreted_label"": ""Exploring Historical and Archaeological Sites"", ""interpretation"": ""Travelers discuss visiting prominent historical and archaeological landmarks in Bangladesh, emphasizing their architectural beauty, rich history, and the educational value of onsite museums."", ""dimension_hint"": ""Attractions & Activities""}"
